Date,IHSG,kurs,BMRI,CCI,BIRate,Volume
1/1/2012,3941.693115,9000.00,1108.555054,119.2,6,2523972012
2/1/2012,3985.209961,9085.00,1067.190796,111.7,5.75,5360720000
3/1/2012,4121.550781,9180.00,1133.373291,107.3,5.75,2932678008
4/1/2012,4180.731934,9190.00,1224.374146,102.5,5.75,1953678000
5/1/2012,3832.823975,9565.00,1141.646118,109,5.75,1902750000
6/1/2012,3955.576904,9480.00,1209.032104,114.4,5.75,1369730000
7/1/2012,4142.336914,9485.00,1393.745483,113.5,5.75,2167044000
8/1/2012,4060.331055,9560.00,1309.784912,115.7,5.75,1351862000
9/1/2012,4262.561035,9588.00,1376.953369,117.7,5.75,1680830000
10/1/2012,4350.291016,9615.00,1385.349487,119.5,5.75,1624008000
11/1/2012,4276.141113,9605.00,1385.349487,120.1,5.75,1254008000
12/1/2012,4316.687012,9670.00,1309.784912,116.4,5.75,2055508012
1/1/2013,4453.703125,9698.00,1519.686279,116.2,5.75,1725268000
2/1/2013,4795.789063,9667.00,1687.607666,116.8,5.75,1701754000
3/1/2013,4940.98584,9719.00,1679.211548,116.8,5.75,1749754000
4/1/2013,5034.070801,9722.00,1763.171753,113.4,5.75,1585938024
5/1/2013,5068.62793,9802.00,1659.903687,112.8,5.75,2498734000
6/1/2013,4818.89502,9929.00,1540.116821,117.1,6,2922794012
7/1/2013,4610.376953,10278.00,1523.004517,108.6,6.5,2805734000
8/1/2013,4195.088867,10924.00,1214.981201,107.8,7,3735436000
9/1/2013,4316.175781,11613.00,1360.436646,107.1,7.25,3808434000
10/1/2013,4510.630859,11234.00,1471.667114,109.5,7.25,2701268000
11/1/2013,4256.436035,11977.00,1309.099243,114.3,7.5,2671856000
12/1/2013,4274.176758,12189.00,1343.324219,116.5,7.5,1290742000
1/1/2014,4418.756836,12226.00,1488.779541,116.7,7.5,2287163600
2/1/2014,4620.21582,11634.00,1557.22937,116.2,7.5,2539901600
3/1/2014,4768.276855,11404.00,1617.122681,118.2,7.5,3031414000
4/1/2014,4840.145996,11532.00,1723.421021,113.9,7.5,2670719200
5/1/2014,4893.908203,11611.00,1784.814819,116.9,7.5,1918157200
6/1/2014,4878.582031,11969.00,1705.879517,116.3,7.5,2055482400
7/1/2014,5088.801758,11591.00,1797.971069,119.8,7.5,3327483200
8/1/2014,5136.862793,11717.00,1819.897583,120.2,7.5,1563503600
9/1/2014,5137.579102,12212.00,1767.273682,119.8,7.5,1965186000
10/1/2014,5089.546875,12082.00,1815.512329,120.6,7.5,2384827200
11/1/2014,5149.888184,12196.00,1846.209229,120.1,7.75,1308342800
12/1/2014,5226.946777,12440.00,1890.062134,116.5,7.75,1425168800
1/1/2015,5289.403809,12625.00,1929.529663,120.2,7.75,1812009600
2/1/2015,5450.293945,12863.00,2104.94165,120.2,7.5,1838508400
3/1/2015,5518.674805,13084.00,2188.262695,116.9,7.5,1476066000
4/1/2015,5086.424805,12937.00,1919.240112,107.4,7.5,2262019200
5/1/2015,5216.378906,13211.00,1923.703369,112.8,7.5,2062749600
6/1/2015,4910.658203,13332.00,1794.266113,111.3,7.5,2253151600
7/1/2015,4802.528809,13481.00,1700.536011,109.9,7.5,1849068000
8/1/2015,4509.606934,14027.00,1624.659058,112.6,7.5,2974338800
9/1/2015,4223.908203,14657.00,1414.88147,97.5,7.5,1516085200
10/1/2015,4455.180176,13639.00,1553.245239,99.3,7.5,2119430000
11/1/2015,4446.458008,13840.00,1517.538574,103.7,7.5,1828682400
12/1/2015,4593.007813,13795.00,1651.439087,107.5,7.5,1237126400
1/1/2016,4615.163086,13846.00,1713.926025,112.6,7.25,1741306800
2/1/2016,4770.956055,13395.00,1704.999268,110,7,2397251200
3/1/2016,4845.371094,13276.00,1838.899658,109.8,6.75,1975695200
4/1/2016,4838.583008,13204.00,1768.175049,109,6.75,1323716800
5/1/2016,4796.869141,13615.00,1653.656128,112.1,6.75,1914989200
6/1/2016,5016.646973,13180.00,1745.271362,113.7,6.5,1485284400
7/1/2016,5215.994141,13094.00,1850.62915,114.2,6.5,2337342800
8/1/2016,5386.082031,13300.00,2056.763184,113.3,5.25,2754841600
9/1/2016,5364.804199,12998.00,2052.182617,110,5,1773045600
10/1/2016,5422.541992,13051.00,2102.570801,116.8,4.75,1641578800
11/1/2016,5148.910156,13563.00,1923.921143,115.9,4.75,2163828800
12/1/2016,5296.710938,13436.00,2120.893799,115.4,4.75,1268608000
1/1/2017,5294.103027,13343.00,1997.213379,115.3,4.75,1098405200
2/1/2017,5386.691895,13347.00,2070.505615,117.1,4.75,1805377200
3/1/2017,5568.105957,13321.00,2143.797607,121.5,4.75,1517241200
4/1/2017,5685.297852,13327.00,2193.289795,123.7,4.75,1359647600
5/1/2017,5738.154785,13321.00,2362.004395,125.9,4.75,1662761600
6/1/2017,5829.708008,13319.00,2390.123291,122.4,4.75,1012243200
7/1/2017,5840.938965,13323.00,2558.838135,123.4,4.75,1430117200
8/1/2017,5864.059082,13351.00,2455.734619,121.9,4.5,1360008000
9/1/2017,5900.854004,13492.00,2521.345703,123.8,4.25,1481339200
10/1/2017,6005.78418,13572.00,2643.195557,120.7,4.25,1898497000
11/1/2017,5952.138184,13514.00,2774.417725,122.1,4.25,1900178000
12/1/2017,6355.653809,13548.00,2999.370361,126.4,4.25,1423478400
1/1/2018,6605.630859,13413.00,3055.608887,126.1,4.25,1643769600
2/1/2018,6597.217773,13707.00,3111.847168,122.5,4.25,1432868800
3/1/2018,6188.986816,13756.00,2877.52124,121.6,4.25,1707350200
4/1/2018,5994.595215,13877.00,2884.797852,122.2,4.25,721998800
5/1/2018,5983.586914,13951.00,2854.431396,125.1,4.75,2136398600
6/1/2018,5799.236816,14404.00,2773.454834,128.1,5.25,1139700000
7/1/2018,5936.442871,14413.00,2692.478027,124.8,5.25,1454409800
8/1/2018,6018.459961,14711.00,2793.698975,121.6,5.5,1586252800
9/1/2018,5976.553223,14929.00,2722.844238,122.4,5.75,1322205800
10/1/2018,5831.649902,15227.00,2773.454834,119.2,5.75,1295304200
11/1/2018,6056.124023,14339.00,2996.140869,122.7,6,2131135200
12/1/2018,6194.498047,14481.00,2986.019043,127,6,1349235400
1/1/2019,6532.969238,14072.00,3016.385254,125.5,6,2531064800
2/1/2019,6443.348145,14062.00,2884.797852,125.1,6,1724258600
3/1/2019,6468.754883,14244.00,3026.507324,124.5,6,1361431000
4/1/2019,6455.352051,14215.00,3127.728271,128.1,6,1619330000
5/1/2019,6209.117188,14385.00,3107.483887,128.2,6,2144913200
6/1/2019,6358.628906,14141.00,3354.271729,126.4,6,1383878400
7/1/2019,6390.504883,14026.00,3333.373047,124.8,5.75,2053738800
8/1/2019,6328.470215,14237.00,3030.339111,123.1,5.5,1850197400
9/1/2019,6169.102051,14174.00,2915.395264,121.8,5.25,1297082400
10/1/2019,6228.316895,14008.00,2936.293945,118.4,5,2083158400
11/1/2019,6011.830078,14102.00,2915.395264,124.2,5,1410547600
12/1/2019,6299.539063,13901.00,3207.979492,126.4,5,1819190600
1/1/2020,5940.047852,13662.00,3155.732422,121.7,5,1974173600
2/1/2020,5452.704102,14234.00,3040.788574,117.7,4.75,2232867200
3/1/2020,4538.930176,16367.00,2054.924072,113.8,4.5,3498227800
4/1/2020,4716.402832,15157.00,1958.325073,84.8,4.5,3137682800
5/1/2020,4753.611816,14733.00,1962.71582,77.8,4.5,2824536600
6/1/2020,4905.39209,14302.00,2173.477295,83.8,4.25,3937606200
7/1/2020,5149.626953,14653.00,2546.700684,86.2,4,1802590000
8/1/2020,5238.486816,14554.00,2612.563477,86.9,4,1960545400
9/1/2020,4870.039063,14918.00,2177.868164,83.4,4,2492304200
10/1/2020,5128.225098,14690.00,2535.723633,79,4,1767891000
11/1/2020,5612.415039,14128.00,2777.220947,92,3.75,3153225200
12/1/2020,5979.073242,14105.00,2777.220947,96.5,3.75,2169395400
1/1/2021,5862.352051,14084.00,2886.992432,84.9,3.75,2594266000
2/1/2021,6241.795898,14229.00,2700.380615,85.8,3.5,2383024400
3/1/2021,5985.521973,14572.00,2700.380615,93.4,3.5,2358185800
4/1/2021,5995.616211,14468.00,2803.88501,101.5,3.5,1620743800
5/1/2021,5947.462891,14310.00,2724.422607,104.4,3.5,1526738600
6/1/2021,5985.48877,14496.00,2679.015625,107.4,3.5,1968827600
7/1/2021,6070.039063,14491.00,2588.201416,80.2,3.5,1349325400
8/1/2021,6150.298828,14374.00,2769.82959,77.3,3.5,1452176000
9/1/2021,6286.942871,14307.00,2792.532959,95.5,3.5,1541881600
10/1/2021,6591.346191,14199.00,3257.955322,113.4,3.5,2592267200
11/1/2021,6533.932129,14340.00,3178.49292,118.5,3.5,1888179800
12/1/2021,6581.481934,14269.00,3189.844727,118.3,3.5,1233945400
1/1/2022,6631.150879,14381.00,3394.176514,119.6,3.5,1448451200
2/1/2022,6888.170898,14371.00,3496.342285,113.1,3.5,1613654600
3/1/2022,7071.441895,14349.00,3587.15625,111,3.5,3223316400
4/1/2022,7228.914063,14418.00,4257.680664,113.1,3.5,2690531800
5/1/2022,7148.970215,14544.00,4043.607178,128.9,3.5,2869860400
6/1/2022,6911.582031,14848.00,3770.069092,128.2,3.5,2637474000
7/1/2022,6951.123047,14958.00,3936.570557,123.2,3.5,2535249400
8/1/2022,7178.589844,14875.00,4210.108887,124.7,3.75,1877599600
9/1/2022,7040.797852,15247.00,4483.646973,117.2,4.25,2487323600
10/1/2022,7098.890137,15542.00,5018.830078,120.3,4.75,1840315200
11/1/2022,7081.312988,15737.00,5006.937012,119.1,5.25,2183194400
12/1/2022,6850.619141,15731.00,4721.505859,119.9,5.5,3147393000
1/1/2023,6839.341797,14979.00,4733.398926,123,5.75,2197536200
2/1/2023,6843.23877,15274.00,4757.185059,122.4,5.75,1753691800
3/1/2023,6805.276855,15062.00,4911.793457,123.3,5.75,2491489100
4/1/2023,6915.71582,14751.00,5175,126.1,5.75,1299828600
5/1/2023,6633.26123,14969.00,5050,128.3,5.75,2053623000
6/1/2023,6661.878906,15026.00,5200,127.1,5.75,1800300100
7/1/2023,6931.358887,15083.00,5725,123.5,5.75,2190789600
8/1/2023,6953.259766,15239.00,6025,125.2,5.75,1840293300
9/1/2023,6936.083008,15526.00,5900,121.7,5.75,855047000
10/1/2023,6752.210938,15916.00,5398.888672,124.2871656,6,1572859200
11/1/2023,7080.741211,15384.00,5565.374512,123.5848752,6,1150273100
12/1/2023,7272.796875,15416.00,5755.643555,123.772689,6,1469376300
1/1/2024,7207.940918,15796.00,6326.451172,125.0496611,6,1955582700
2/1/2024,7316.11084,15673.00,6659.422363,123.1115809,6,2064026600
